Customer Name and Age;Feedback Date;Overall for product;Product quality;Value for money;Ease of use;Feedback Text;Product/Service Category
berna35–44v19.8.2024;19.8.2024;No overall review;No product quality review;No value for money review;No ease of use review;I am very pleased. It is especially easy to strain pasta. Additionally, the food is cooked by hand and thermally balanced.;Fiskars Hard Face paistokasari 26 cm
Kovanaama25–34v29.1.2024;29.1.2024;Arvosana 5/5;100.00;100.00;80.00;Paras pannu. Täydellisen paksu pohja tasaiseen lämpöön, ja pinta kestää metallivispilääkin.Täykky koko normiliedelle! Ainut miinus on se, että kestää vaan n. 4 vuotta jokapäiväisessä käytössä!;Fiskars Hard Face paistokasari 26 cm
Bell35–44v22.6.2023;22.6.2023;Arvosana 5/5;100.00;100.00;100.00;Kannatti satsata tähän paistokasariin. Ruoka ei pala tähän yhtään kiinni ja tulee nopeammin valmista kuin vanhoilla paistinpannuilla. Tämä tosi helppo myös puhdistaa. Tuli ihan uusi ulottuvuus ruoanlaittoon tämän kanssa.;Fiskars Hard Face paistokasari 26 cm
Ripa25–34v3.6.2023;3.6.2023;Arvosana 5/5;80.00;80.00;100.00;Erittäin hyvä. Käytän vain yhtä pannua kerrallaan niin ostin vanhan vastaavan tilalle tämän saman pannun parin vuoden käytön jälkeen. Erittäin hyvä!!;Fiskars Hard Face paistokasari 26 cm
Riihimökii55–64v19.3.2023;19.3.2023;Arvosana 5/5;100.00;100.00;100.00;Aivan sopivan kokoinen, kansi toimii hienosti kun joutuu kaatamaan ylimääräistä nestettä pois.;Fiskars Hard Face paistokasari 26 cm
2 lasten äiti35–44v3.2.2022;3.2.2022;No overall review;No product quality review;No value for money review;No ease of use review;Todella hyvä! Ruoka ei tartu pohjaan ja se on helppo pestä.;Fiskars Hard Face paistokasari 26 cm
Lilop35–44v25.10.2021;25.10.2021;Arvosana 5/5;100.00;100.00;100.00;Paistokasari on ollut reilun kuukauden käytössä melkeinpä päivittäin ja on osoittautunut oikein toimivaksi. Sopii monenlaiseen kokkailuun. Korkean reunan ansiosta voi peruspaistinpannutoimien lisäksi kokkailla helposti isomman määrän ja kastikkeet. Aiempaan pannuun verrattuna hieman painavampi. Toimii hyvin induktioliedellä ja vaikuttaisi lämpenevän erittäin tasaisesti ja nopeasti. Kannen kaatoaukot ovat näppärät. Koneessa en ole vielä uskaltanut pestä, eli tähän mennessä jäähtyneen paistokasarin pesu vain käsin.;Fiskars Hard Face paistokasari 26 cm
Tomzon25–34v22.10.2021;22.10.2021;Arvosana 5/5;100.00;100.00;100.00;Täydellinen paistokasari korkeilla reunoilla perheen ruoanlaittoon, tilaa on niin leveys ja korkeussuunnassa. Reunat ova riittävän pystyt, ettei ruoka roisku yli. Kestää konepesun. Niin hyvä että vanhan kuluneen tilalle ostettiin uusi samanlainen.;Fiskars Hard Face paistokasari 26 cm
Loistavasti toimii14.10.2021;14.10.2021;Arvosana 5/5;100.00;100.00;100.00;Paljon jo tällä kokkailleena, voin suositella tätä tuotetta.;Fiskars Hard Face paistokasari 26 cm
AnneLiiN, 55–64v24.2.2021;24.2.2021;No overall review;60.00;60.00;No ease of use review;Ei toimi meidän suurimmalla induktiolieden keittolevyllä. Vastaavan kokoinen saman sarjan paistinpannu toimii. Siis missä vika???!!!;Fiskars Hard Face paistokasari 26 cm
SasuM, 25–34v8.2.2021;8.2.2021;No overall review;80.00;80.00;No ease of use review;Pannu toimii hyvin ainakin vielä. Kasari tuo enemmän mahdollisuuksia kokkailuun niin sen on hyvä juttu.;Fiskars Hard Face paistokasari 26 cm
RiittaM, 25–34v11.1.2020;11.1.2020;Arvosana 5/5;100.00;100.00;No ease of use review;Loistava ja laadukas tuote jokapäiväiseen ruuanlaittoon;Fiskars Hard Face paistokasari 26 cm